사용장소,방문횟수,사용금액
#207,2,27200
(주)소명생고기,1,100000
(주)송원마포갈비,1,45500
(주)신세계페이먼츠,4,546290
(주)신화아이푸드,1,469500
(주)영풍안성상휴게,1,157000
(주)이마트,1,460590
11번가,4,232240
406CAFE,1,6500
ENZO(엔조),1,46500
GS슈퍼,2,123750
GS슈퍼마켓,2,257930
KFC,1,19200
KSNET,1,60000
SEROTONIN,1,17400
SOME801,1,48000
㈜배다리문화원,1,60000
가마솥,4,224000
가마솥삼계탕,1,35000
가빈,2,28500
가야촌오리주물럭,1,41000
가야촌유황오리,1,71000
가온매운갈비찜,1,180000
가츠몽,1,10000
감격시대,1,220000
감나무집,33,6527500
값진식육,1,55900
강강술래,14,3850500
강강술래신림본동점,7,1218000
강남식당,1,20000
강문어화횟집,1,164000
강촌민물매운탕2호점,6,519000
강촌민물매운탕２호점,1,28000
개성보쌈,1,21000
갯바위,6,458000
갯벌낙지,1,210000
거목쟁반짜장,8,136500
경복궁,1,220000
경식이네알쌈쭈꾸미,1,137000
고기만족,1,46500
고기킹,1,124000
고려왕족발,5,351000
고봉민김밥,1,14000
고봉민김밥인,2,59000
고창복의낙지세상,11,1183000
고향순대국,1,31000
고향식당,2,50000
고흥식당,3,245000
광명수산,2,92000
광어삼촌,2,80000
교대전집,1,200000
교동왕족발,1,60000
교촌치킨,2,56000
구름산원주추어탕,1,144000
구수옥설렁탕,9,586000
국내산생고기,1,160000
국회루,2,225500
굴러들어온복,1,64000
그린파크식당,5,1600000
금비,12,2756000
금수강산,2,146000
금수사,2,445000
기사님식당,1,18000
기장산곰장어포차,1,108000
기절초풍왕순대,4,119000
김가네,7,541400
김가네 관악구청점,2,76100
김밥,5,1021000
김밥천국,6,347000
김밥＆백반,1,32000
김용해순대국,2,293000
김채원24시감자탕,1,100000
깡돈,1,46000
꽃올림,1,17300
꿀벌식당,1,12000
나의집,1,24000
나주곰탕,12,928500
나주오리종가,4,457000
낙성푸줏간,1,143000
낙지마을해물구이,1,136000
낙지촌,1,70000
난곡문성파리바게뜨,1,17250
난곡사거리 파리바게뜨,1,31200
남궁야,1,111000
남도식당,1,117000
남도전문음식점,5,1188000
남도해물요리전문점,3,115500
남원추어탕,33,3146000
낭만모로코,1,52000
내자리에프씨카페,1,8500
너구리칼국수,1,31000
노가리7080,1,43800
농장사람들,2,250680
다락방,1,68000
다리목,12,2760000
다빈,1,60000
다온죽카페,1,34000
다우데이타,1,58000
